,Номенклатура,КлассТовара
0,000c9ee5-d56c-11de-87fb-00151716f9f5,Наименее продаваемый
1,000f6e23-dfbf-11de-9339-00151716f9f5,Средне продаваемый
2,0016f7a3-d839-11e0-b7e0-001517c526f0,Средне продаваемый
3,00337cb5-ed5d-11e0-b8cc-001517c526f0,Наименее продаваемый
4,00390b11-58fe-11e0-bf69-001517c526f0,Средне продаваемый
5,00390b12-58fe-11e0-bf69-001517c526f0,Средне продаваемый
6,00390b13-58fe-11e0-bf69-001517c526f0,Наименее продаваемый
7,004dbf18-d747-11db-bc84-001731bb01c7,Средне продаваемый
8,0051967a-2b91-11e1-9772-001517c526f0,Средне продаваемый
9,0051967b-2b91-11e1-9772-001517c526f0,Средне продаваемый
10,0066aa40-77a5-11e1-84e2-001517c526f0,Наименее продаваемый
11,007415ed-ca6b-11de-b72b-00151716f9f5,Наименее продаваемый
12,007415ef-ca6b-11de-b72b-00151716f9f5,Наиболее продаваемый
13,007415f0-ca6b-11de-b72b-00151716f9f5,Наименее продаваемый
14,007415f2-ca6b-11de-b72b-00151716f9f5,Средне продаваемый
15,0081d13f-4622-11dc-b707-0016e68b97a6,Средне продаваемый
16,0095fafd-be25-11e0-953c-00155d030b07,Наиболее продаваемый
17,0095fafe-be25-11e0-953c-00155d030b07,Наиболее продаваемый
18,0095faff-be25-11e0-953c-00155d030b07,Наименее продаваемый
19,0095fb00-be25-11e0-953c-00155d030b07,Средне продаваемый
20,009c0503-13fd-11e1-8721-001517c526f0,Средне продаваемый
21,009c0504-13fd-11e1-8721-001517c526f0,Средне продаваемый
22,00a2b0ec-f4f6-11de-97f8-00151716f9f5,Средне продаваемый
23,00b26d07-09a9-11e0-b227-001517c526f0,Наименее продаваемый
24,00b26d08-09a9-11e0-b227-001517c526f0,Наименее продаваемый
25,00ba3cae-61a8-11e1-b70e-001517c526f0,Средне продаваемый
26,00ba3caf-61a8-11e1-b70e-001517c526f0,Средне продаваемый
27,00ba3cb0-61a8-11e1-b70e-001517c526f0,Средне продаваемый
28,00ba3cb1-61a8-11e1-b70e-001517c526f0,Средне продаваемый
29,00ba687c-e266-11e0-bdbc-001517c526f0,Наиболее продаваемый
30,00ba687d-e266-11e0-bdbc-001517c526f0,Наиболее продаваемый
31,00ba687e-e266-11e0-bdbc-001517c526f0,Средне продаваемый
32,00ba687f-e266-11e0-bdbc-001517c526f0,Средне продаваемый
33,00ba6880-e266-11e0-bdbc-001517c526f0,Наиболее продаваемый
34,00ba6881-e266-11e0-bdbc-001517c526f0,Наиболее продаваемый
35,00d740c6-a0b7-11de-8bef-00151716f9f5,Наименее продаваемый
36,00dbf4b4-5bfe-11e0-b61b-001517c526f0,Наименее продаваемый
37,00dbf4b5-5bfe-11e0-b61b-001517c526f0,Наименее продаваемый
38,00dc39ba-6ba5-11e0-b7a0-001517c526f0,Средне продаваемый
39,00e9a4e0-2900-11e0-8a0b-001517c526f0,Средне продаваемый
40,00e9a4e1-2900-11e0-8a0b-001517c526f0,Средне продаваемый
41,00e9a4e2-2900-11e0-8a0b-001517c526f0,Средне продаваемый
42,00e9a4e3-2900-11e0-8a0b-001517c526f0,Средне продаваемый
43,00f0e1bc-43be-11e0-8cef-001517c526f0,Средне продаваемый
44,00f0e1bd-43be-11e0-8cef-001517c526f0,Средне продаваемый
45,00f0e1be-43be-11e0-8cef-001517c526f0,Средне продаваемый
46,00f0e1c0-43be-11e0-8cef-001517c526f0,Средне продаваемый
